"Scenario","Region","t","Recycling"
"Ambitious-Baseline-Baseline-Baseline-Baseline","Brazil",2026,0.00281843045721849
"Ambitious-Baseline-Baseline-Baseline-Baseline","Brazil",2027,0.00559485190779433
"Ambitious-Baseline-Baseline-Baseline-Baseline","Brazil",2028,0.00807304673924303
"Ambitious-Baseline-Baseline-Baseline-Baseline","Brazil",2029,0.0117825302413212
"Ambitious-Baseline-Baseline-Baseline-Baseline","Brazil",2030,0.0171638035963149
"Ambitious-Baseline-Baseline-Baseline-Baseline","Brazil",2031,0.0253365098966165
"Ambitious-Baseline-Baseline-Baseline-Baseline","Brazil",2032,0.0344712948386357
"Ambitious-Baseline-Baseline-Baseline-Baseline","Brazil",2033,0.0462739502147548
"Ambitious-Baseline-Baseline-Baseline-Baseline","Brazil",2034,0.0618368713955442
"Ambitious-Baseline-Baseline-Baseline-Baseline","Brazil",2035,0.0822955397962804
"Ambitious-Baseline-Baseline-Baseline-Baseline","Brazil",2036,0.108938304566938
"Ambitious-Baseline-Baseline-Baseline-Baseline","Brazil",2037,0.143273358205278
"Ambitious-Baseline-Baseline-Baseline-Baseline","Brazil",2038,0.186904556528429
"Ambitious-Baseline-Baseline-Baseline-Baseline","Brazil",2039,0.243040370202357
"Ambitious-Baseline-Baseline-Baseline-Baseline","Brazil",2040,0.308560094688056
"Ambitious-Baseline-Baseline-Baseline-Baseline","Brazil",2041,0.386071746894815
"Ambitious-Baseline-Baseline-Baseline-Baseline","Brazil",2042,0.473467583542853
"Ambitious-Baseline-Baseline-Baseline-Baseline","Brazil",2043,0.572882225516549
"Ambitious-Baseline-Baseline-Baseline-Baseline","Brazil",2044,0.683800479928179
"Ambitious-Baseline-Baseline-Baseline-Baseline","Brazil",2045,0.805580375643306
"Ambitious-Baseline-Baseline-Baseline-Baseline","Brazil",2046,0.931946385276303
"Ambitious-Baseline-Baseline-Baseline-Baseline","Brazil",2047,1.0697957343151
"Ambitious-Baseline-Baseline-Baseline-Baseline","Brazil",2048,1.21462301271447
"Ambitious-Baseline-Baseline-Baseline-Baseline","Brazil",2049,1.36529031183796
"Ambitious-Baseline-Baseline-Baseline-Baseline","Brazil",2050,1.52026301022794
"Ambitious-Baseline-Baseline-Baseline-Baseline","Brazil",2051,1.68545393920404
"Ambitious-Baseline-Baseline-Baseline-Baseline","Brazil",2052,1.86159546467958
"Ambitious-Baseline-Baseline-Baseline-Baseline","Brazil",2053,2.03608122058555
"Ambitious-Baseline-Baseline-Baseline-Baseline","Brazil",2054,2.20619759071832
"Ambitious-Baseline-Baseline-Baseline-Baseline","Brazil",2055,2.36945526296042
"Ambitious-Baseline-Baseline-Baseline-Baseline","Brazil",2056,2.52379397488327
"Ambitious-Baseline-Baseline-Baseline-Baseline","Brazil",2057,2.66803626954192
"Ambitious-Baseline-Baseline-Baseline-Baseline","Brazil",2058,2.80112530161352
"Ambitious-Baseline-Baseline-Baseline-Baseline","Brazil",2059,2.92304761276031
"Ambitious-Baseline-Baseline-Baseline-Baseline","Brazil",2060,3.03378838231377
"Ambitious-Baseline-Baseline-Baseline-Baseline","Brazil",2061,3.13363321539663
"Ambitious-Baseline-Baseline-Baseline-Baseline","Brazil",2062,3.22325750025659
"Ambitious-Baseline-Baseline-Baseline-Baseline","Brazil",2063,3.30306824202126
