"t","Scenario","Demand"
2030,"Ambitious-Baseline-High Range-Baseline-Baseline",800.263834695147
2030,"Ambitious-Baseline-Low Range-Baseline-Baseline",584.514062678777
2030,"Ambitious-Double LFP-Baseline-Baseline-Baseline",690.881893431113
2030,"Ambitious-Double NMC 811-Baseline-Baseline-Baseline",694.061910855393
2030,"Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",691.120660971818
2030,"Ambitious-Solid State adoption-Baseline-Baseline-Baseline",703.869054116583
2031,"Ambitious-Baseline-Baseline-Baseline-Baseline",763.807076338685
2031,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",764.708508618711
2031,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",743.232460643385
2031,"Ambitious-Baseline-High Range-Baseline-Baseline",894.809708264003
2031,"Ambitious-Baseline-Low Range-Baseline-Baseline",630.008546196393
2031,"Ambitious-Double LFP-Baseline-Baseline-Baseline",758.03930411755
2031,"Ambitious-Double NMC 811-Baseline-Baseline-Baseline",761.914324925586
2031,"Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",753.347797956681
2031,"Ambitious-Solid State adoption-Baseline-Baseline-Baseline",781.281223687407
2032,"Ambitious-Baseline-Baseline-Baseline-Baseline",836.718872229738
2032,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",838.018185231358
2032,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",807.091229466533
2032,"Ambitious-Baseline-High Range-Baseline-Baseline",998.392482023409
2032,"Ambitious-Baseline-Low Range-Baseline-Baseline",676.439621584036
2032,"Ambitious-Double LFP-Baseline-Baseline-Baseline",830.040914540862
2032,"Ambitious-Double NMC 811-Baseline-Baseline-Baseline",834.673221255621
2032,"Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",819.70607854957
2032,"Ambitious-Solid State adoption-Baseline-Baseline-Baseline",865.097258217734
2033,"Ambitious-Baseline-Baseline-Baseline-Baseline",917.688882069879
2033,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",919.475576484855
2033,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",877.308043111884
2033,"Ambitious-Baseline-High Range-Baseline-Baseline",1114.33070193048
2033,"Ambitious-Baseline-Low Range-Baseline-Baseline",726.269499165338
2033,"Ambitious-Double LFP-Baseline-Baseline-Baseline",910.036733997406
2033,"Ambitious-Double NMC 811-Baseline-Baseline-Baseline",915.520247246413
2033,"Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",892.876085538483
2033,"Ambitious-Solid State adoption-Baseline-Baseline-Baseline",959.209202584573
2034,"Ambitious-Baseline-Baseline-Baseline-Baseline",1001.79299730257
2034,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",1004.18034748184
2034,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",948.526998844843
2034,"Ambitious-Baseline-High Range-Baseline-Baseline",1237.12502861734
2034,"Ambitious-Baseline-Low Range-Baseline-Baseline",777.404474796033
2034,"Ambitious-Double LFP-Baseline-Baseline-Baseline",993.103043122736
2034,"Ambitious-Double NMC 811-Baseline-Baseline-Baseline",999.598033171502
2034,"Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",967.496082542051
2034,"Ambitious-Solid State adoption-Baseline-Baseline-Baseline",1057.64148614709
2035,"Ambitious-Baseline-Baseline-Baseline-Baseline",1081.48240424936
2035,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",1084.89878065187
2035,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",1011.52122682537
2035,"Ambitious-Baseline-High Range-Baseline-Baseline",1359.90452112094
